Stt,Ten_anh,Loai_giay_to,Ma_so_DN,Ten_cong_ty,Dia_chi,Dien_thoai,Email
1,GPKD_gcndkdoanhnghiepcongtycophan_1.jpg,GIẤY CHỨNG NHẬN ĐĂNG KÝ DOANH NGHIỆP CÔNG TY CỔ PHẦN,28002195549,CÔNG TY CỔ PHẦN CẤP NƯỚC THANH HÓA,"Số 99, đường Mật Sơn, Phường Đông Vệ, Thành phố Thanh Hóa, Tỉnh Thanh Hóa, Việt Nam",0373852966,www.cnth@capnuocth.vn
2,GPKD_gcndkdoanhnghiepcongtycophan_2.jpg,GIẤY CHỨNG NHẬN ĐĂNG KÝ DOANH NGHIỆP CÔNG TY CỔ PHẦN,3000104879,CÔNG TY CỔ PHẦN DƯỢC HÀ TĨNH,"Số 167 đường Hà Huy Tập, Phường Nam Hà, Thành Phố Hà Tĩnh, Việt Nam",0393858115,
3,GPKD_gcndkdoanhnghiepcongtycophan_3.jpg,GIẤY CHỨNG NHẬN ĐĂNG KÝ DOANH NGHIỆP CÔNG TY CỔ PHẦN,0300509782,CÔNG TY CỔ PHẦN DỆT MAY 7,"109A Trần Văn Dư, Phường 13, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",0838425372,
4,GPKD_gcndkdoanhnghiepcongtycophan_4.jpg,GIẤY CHỨNG NHẬN ĐĂNG KÝ DOANH NGHIỆP CÔNG TY CỔ PHẦN,0303640880,CÔNG TY CỔ PHẦN NHỰA TÂN PHÚ,"314 Lũy Bán Bích, Phường Hòa Thanh, Quận Tân Phú, Thành Phố Hồ Chí Minh, Việt Nam",(08) 38609003 - 38609340,taplast@thanphuplastic.com.vn
5,GPKD_gcndkdoanhnghiepcongtycophan_5.jpg,GIẤY CHỨNG NHẬN ĐĂNG KÝ DOANH NGHIỆP CÔNG TY CỔ PHẦN,0107849212,CÔNG TY CỔ PHẦN VI SINH MICHIANNAI,"Số 182 Mai Anh Tuấn, Phường Thành Công, Quận Ba Đình, Thành phố Hà Nội, Việt Nam",02435147179,Vphn@michiannai.vn
6,GPKD_gcndkdoanhnghiepcongtycophan_6.jpg,GIẤY CHỨNG NHẬN ĐĂNG KÝ DOANH NGHIỆP CÔNG TY CỔ PHẦN,0200456505,CÔNG TY CỔ PHẦN SIVICO,"Lô D1 khu công nghiệp Tràng Duệ, Xã Hồng Phong, Huyện An Dương, Thành Phố Hải Phòng, Việt Nam",0313597778,
7,GPKD_gcndkdoanhnghiepcongtycophan_7.jpg,GIẤY CHỨNG NHẬN ĐĂNG KÝ DOANH NGHIỆP CÔNG TY CỔ PHẦN,0102460581,CÔNG TY CỔ PHẦN ĐẦU TƯ NHÀ VÀ THƯƠNG MẠI HƯNG NGÂN,"Số 130, phố Tôn Đức Thắng, Phường Quốc tử Giám, Quận Đống Đa, Thành phố Hà Nội",02437326698,
8,GPKD_gcndkdoanhnghiepcongtycophan_8.jpg,GIẤY CHỨNG NHẬN ĐĂNG KÝ DOANH NGHIỆP CÔNG TY CỔ PHẦN,0309829579,CÔNG TY CỔ PHẦN TRUNG TÂM CHĂM SÓC SỨC KHỎE CỘNG ĐỒNG CHAC,"110A Ngô Quyền, Phường 08, Quận 5, Thành phố Hồ Chí Minh, Việt Nam",0902714743,
10,GPKD_gcndkdoanhnghiepcongtycophan_10.jpg,GIẤY CHỨNG NHẬN ĐĂNG KÝ DOANH NGHIỆP CÔNG TY CỔ PHẦN,0104008162,CÔNG TY CỔ PHẦN TẬP ĐOÀN ĐUA FAT,"Số 15, liền kề 10, khu đô thị Xa La, Phường Phúc La, Quận Hà Đông, Thành phố Hà Nội, Việt Nam",02435642741,company@duafat.com.vn
11,GPKD_gcndkdoanhnghiepcongtycophan_11.jpg,GIẤY CHỨNG NHẬN ĐĂNG KÝ DOANH NGHIỆP CÔNG TY CỔ PHẦN,0305173790,CÔNG TY CỔ PHẦN ĐẦU TƯ KINH DOANH ĐIỆN LỰC THÀNH PHỐ HỒ CHÍ MINH,"14A Đường số 85, Khu phố 1, Phường Tân Quy, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",0822117898,info@hcmpc-tradincorp.com
12,GPKD_gcndkdoanhnghiepcongtycophan_12.jpg,GIẤY CHỨNG NHẬN ĐĂNG KÝ DOANH NGHIỆP CÔNG TY CỔ PHẦN,0100105084,CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN NHÀ VÀ XÂY DỰNG TÂY HỒ,"Số 2, ngõ 9, đường Đặng Thai Mai, Phường Quảng An, Quận Tây Hồ, Thành phố Hà Nội, Việt Nam",(024) 37184069,tayhojc@gmail.com
13,GPKD_gcndkdoanhnghiepcongtycophan_13.jpg,GIẤY CHỨNG NHẬN ĐĂNG KÝ DOANH NGHIỆP CÔNG TY CỔ PHẦN,1800155244,CÔNG TY CỔ PHẦN CẤP THOÁT NƯỚC CẦN THƠ,"2A, Nguyễn Trãi, Phường Tây An, Quận Ninh Kiều, Thành phố Cần Thơ, Việt Nam",02923810188,ctncantho@gmail.com
14,GPKD_gcndkdoanhnghiepcongtycophan_14.jpg,GIẤY CHỨNG NHẬN ĐĂNG KÝ DOANH NGHIỆP CÔNG TY CỔ PHẦN,0100106426,CÔNG TY CỔ PHẦN LICOGI 13,"Tòa nhà LICOGi 13, đường Khuất Duy Tiến, Phường Nhân Chính, Quận Thanh Xuân, Thành phố Hà Nội, Việt Nam",0438544623,tonghop@licogi13.com.vn
15,GPKD_gcndkdoanhnghiepcongtycophan_15.jpg,GIẤY CHỨNG NHẬN ĐĂNG KÝ DOANH NGHIỆP CÔNG TY CỔ PHẦN,0400101531,CÔNG TY CỔ PHẦN CAO SU ĐÀ NẴNG,"Lô G, đường Tạ Quang Bửu, Phường Hòa Hiệp Bắc, Quận Liên Chiêu, Thành phố Đà Nẵng, Việt Nam",02363771405,hanhchinh@drc.com.vn
16,GPKD_gcndkdoanhnghiepcongtycophan_16.jpg,GIẤY CHỨNG NHẬN ĐĂNG KÝ DOANH NGHIỆP CÔNG TY CỔ PHẦN,1201641742,CÔNG TY CỔ PHẦN GOOD FARMER VIỆT NAM,"Số 29, Quốc lộ 50, Phường 9, Thành phố Mỹ Tho, Tỉnh Tiền Giang, Việt Nam",0889666966,goodfarmervn@gmail.com
17,GPKD_gcndkdoanhnghiepcongtycophan_17.jpg,GIẤY CHỨNG NHẬN ĐĂNG KÝ DOANH NGHIỆP CÔNG TY CỔ PHẦN,0301465337,CÔNG TY CỔ PHẦN SÀI GÒN DC,"Tòa nhà Nhật Anh, lầu 3A, số 25 đường 55, Phường Thạnh Mỹ Lợi, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",2822508961,
18,GPKD_gcndkdoanhnghiepcongtycophan_18.jpg,GIẤY CHỨNG NHẬN ĐĂNG KÝ DOANH NGHIỆP CÔNG TY CỔ PHẦN,0305731452,CÔNG TY CỔ PHẦN CÔNG NGHỆ VIỆT ÂN,"165 Bến Vân Đồn. Phường 06, Quận 4, Thành phố Hồ Chí Minh, Việt Nam",02839153389,
19,GPKD_gcndkdoanhnghiepcongtycophan_19.jpg,GIẤY CHỨNG NHẬN ĐĂNG KÝ DOANH NGHIỆP CÔNG TY CỔ PHẦN,3602997972,CÔNG TY CỔ PHẦN TIẾP VẬN SỐ 1 ĐỒNG NAI,"Văn phòng giao dịch (Trong khuôn viên Công ty CP Cảng Đồng Nai), KP.Bình Dương, Phường Long Bình Tân, Thành phố Biên Hòa, Tỉnh Đồng Nai, Việt Nam",02518619386,
